EventNumber,Type,Time,Resistance,BaselineCorrectedResistance
1,Trough,16.791452,3.84087347552448,-0.00553556643356679
2,Peak,17.724176,3.92376433333333,0.0619955990675987
3,Trough,18.655657,3.87007032867133,-0.00443699067599024
4,Peak,19.45588,3.90191296503496,0.0238899347319346
5,Trough,20.256343,3.87802303030303,-0.00303498601398644
6,Peak,21.051862,3.93355935664336,0.0457446876456884
7,Trough,21.985291,3.83656007692308,-0.0530470372960385
8,Peak,22.782869,3.9179258997669,0.0257405617715607
9,Trough,23.445241,3.87230284848485,-0.0208287855477853
10,Peak,24.242639,3.91736839393939,0.0213366550116554
11,Trough,25.041409,3.87054558508158,-0.0223900466200466
12,Peak,25.837829,3.94041993939394,0.0442270139860139
13,Trough,26.636374,3.86497456177156,-0.028613489510489
14,Peak,27.431423,3.95584692540793,0.0584222750582759
15,Trough,28.363428,3.87490333566434,-0.0191799393939394
16,Peak,29.0297,3.90331922144522,0.00589457109557179
17,Trough,29.694303,3.8850751048951,-0.0109566340326337
18,Peak,30.491907,3.9031524965035,0.00560255244755181
19,Trough,31.421402,3.87556389044289,-0.0204678484848473
20,Peak,32.233246,3.94055333799534,0.042157839160839
21,Trough,33.035312,3.8793932983683,-0.0171325221445215
22,Peak,33.834455,3.91355681118881,0.0151613123543126
23,Trough,34.632322,3.87967215617716,-0.0168536643356636
24,Peak,35.42926,3.92304042424242,0.0245565874125884
25,Trough,36.2255,3.87661523543123,-0.0217802634032642
26,Peak,37.023962,3.90773432400932,0.00667360606060541
27,Trough,37.686428,3.88281209090909,-0.0172720606060617
28,Peak,38.616361,3.92324344988345,0.0218301142191133
29,Trough,39.414513,3.88743859440559,-0.0128953356643349
30,Peak,40.225141,3.91625846853147,0.0140914941724941
31,Trough,41.02251,3.8823929044289,-0.0179410256410248
32,Peak,41.821229,3.9178940955711,0.0168333776223775
33,Trough,42.488511,3.89340061072261,-0.00598434032634065
34,Peak,43.28672,3.91685865034965,0.0157979324009325
35,Trough,44.084056,3.88458945454545,-0.0147954965034973
36,Peak,45.012816,3.91373834265734,0.0136482937062938
37,Trough,45.810323,3.89543941958042,-0.0029445920745923
38,Peak,46.475069,3.91668684848485,0.0182436293706303
39,Trough,47.407529,3.88463146153846,-0.0131350442890441
40,Peak,48.072091,3.90267789277389,0.00458373659673672
41,Trough,48.736118,3.89270134965035,-0.00347589976689999
42,Peak,49.533693,3.90777766200466,0.0120849487179484
43,Trough,50.330721,3.88248213286713,-0.0129572867132861
44,Peak,50.995341,3.90371547552448,0.00770849650349659
45,Trough,51.79473,3.87902117249417,-0.0171560769230763
46,Peak,52.59183,3.89988852680653,0.00388154778554695
47,Trough,53.258175,3.88229816317016,-0.0122544452214455
48,Peak,54.056715,3.90016451515151,0.00655513986014045
49,Trough,54.854311,3.88632957575757,-0.00780594405594437
50,Peak,55.521913,3.89490768298368,0.000772163170163154
51,Trough,56.054129,3.88776183216783,-0.00637368764568746
52,Peak,58.309374,3.91406897668998,0.0183762634032627
53,Trough,59.373963,3.88553874125874,-0.0108183636363632
54,Peak,61.367821,3.90304241258741,0.00724138694638743
55,Trough,62.162897,3.89196278554779,-0.00489171095571095
56,Peak,64.02794,3.91497541258741,0.017765072261072
57,Trough,64.95853,3.89185002331002,-0.00536031701631767
58,Peak,65.754488,3.90030497202797,0.00308479953379903
59,Trough,66.555861,3.88913446853147,-0.00834589743589698
60,Peak,67.351017,3.89797878787879,0
61,Trough,68.149535,3.88169424009324,-0.0161744545454541
62,Peak,68.946746,3.90396351515152,0.00598472727272847
63,Trough,69.610565,3.88628747785548,-0.0119267132867131
64,Peak,70.407434,3.90709113752914,0.00895780652680633
65,Trough,72.540006,3.89151606526806,-0.00669812587412588
66,Peak,73.338723,3.90629063869464,0.00744331701631706
67,Trough,74.136506,3.88789165034965,-0.0109556713286714
68,Peak,74.93421,3.90462675058275,0.00449855477855365
69,Trough,75.464739,3.89505103729604,-0.0050771585081586
70,Peak,76.262365,3.90586268298368,0.00701536130536162
71,Trough,77.058367,3.89798615850816,-0.000747076923078627
72,Peak,77.988699,3.91744631002331,0.0200314615384611
73,Trough,80.255969,3.88821001631702,-0.00588328438228469
74,Peak,81.323468,3.90500355710956,0.0143753566433573
