EventNumber,Type,Time,Resistance,BaselineCorrectedResistance
1,Peak,10.775744,3.89390121911422,0.0726358601398598
2,Trough,11.968327,3.81539532167832,-0.0159782377622379
3,Peak,13.032246,3.89627415151515,0.055360025641026
4,Trough,14.098785,3.81467051748252,-0.03122086013986
5,Peak,15.029414,3.90390853613054,0.0495810745920751
6,Trough,16.090215,3.82042447319347,-0.0407049743589738
7,Peak,17.017053,3.90353822843823,0.0372625827505835
8,Trough,18.080167,3.8187548997669,-0.0428506643356648
9,Peak,19.145467,3.90526952214452,0.036507755244755
10,Trough,20.073663,3.81861937296037,-0.0429861911421905
11,Peak,21.146327,3.89965801398601,0.0308472517482525
12,Trough,22.871981,3.81808921445221,-0.0507215477855474
13,Peak,23.804426,3.90952512820513,0.0407380093240097
14,Trough,24.737582,3.82745572494172,-0.0413313939393944
15,Peak,25.536696,3.8997131025641,0.027518827505828
16,Trough,26.334166,3.82550972494172,-0.0424888927738936
17,Peak,27.262195,3.90703996270396,0.0346093519813522
18,Trough,28.058634,3.82750679020979,-0.0412803286713297
19,Peak,28.854722,3.91362103729604,0.04788314918415
20,Trough,29.655209,3.82311668298368,-0.0438929487179491
21,Peak,30.586772,3.90831841258741,0.0453038578088591
22,Trough,31.251543,3.83357654778555,-0.0268864545454539
23,Peak,32.189076,3.91248113986014,0.0567005221445225
24,Trough,32.985207,3.82208438228438,-0.0266081305361308
25,Peak,33.91551,3.91567963869464,0.0714402191142178
26,Trough,34.727777,3.82160324009324,-0.0230633053613061
27,Peak,35.523388,3.91457475757576,0.0702505291375295
28,Trough,40.306658,3.81974494638695,-0.0263476153846152
29,Peak,41.23776,3.91588242191142,0.0730092424242419
30,Trough,42.167501,3.81906909324009,-0.0252551351981349
31,Peak,42.966309,3.91879295571096,0.0750778111888111
32,Trough,43.894917,3.8195081025641,-0.0285008391608401
33,Peak,44.690609,3.917578002331,0.0649124382284376
34,Trough,45.621294,3.82068779254079,-0.0429653869463857
35,Peak,46.420866,3.91454777156177,0.0508945920745925
36,Trough,47.350549,3.82084067132867,-0.0488480745920743
37,Peak,48.147423,3.9100941025641,0.0421950233100223
38,Trough,48.945991,3.82045808391608,-0.0494525454545456
39,Peak,49.876905,3.93504984149184,0.0671038997668991
40,Trough,50.804739,3.82985553846154,-0.0400550909090907
41,Peak,51.602718,3.92152401165501,0.0513366783216784
42,Trough,52.797312,3.81793198601399,-0.0517567599067603
43,Peak,53.737443,3.92287293706294,0.056537540792541
44,Trough,54.401701,3.8336454032634,-0.032689993006993
45,Peak,55.200137,3.9195953006993,0.0565227179487175
46,Trough,55.99869,3.82270255710956,-0.0394635104895098
47,Peak,56.795106,3.91104302564103,0.0537589090909085
48,Trough,57.459647,3.84363824708625,-0.0137654638694649
49,Peak,57.991437,3.89213156177156,0.0316896689976693
50,Trough,68.751307,3.82533506526807,-0.0335659790209784
51,Peak,69.827298,3.89145364102564,0.0301391445221437
52,Trough,72.083601,3.85235219347319,-0.0119556876456883
53,Peak,73.011948,3.93359814918415,0.06625096037296
54,Trough,73.808474,3.84197172027972,-0.0300952913752917
55,Peak,76.8666,3.90834025641026,0.0349484755244749
56,Trough,77.397882,3.86354257342657,-0.00712798834498818
57,Peak,78.060997,3.90481606526806,0.0319503659673668
58,Trough,78.726166,3.84989585314685,-0.0234553636363635
59,Peak,80.597819,3.90675604662005,0.0338903473193488
60,Trough,83.520746,3.82680216783217,-0.0431930256410249
61,Peak,84.719344,3.8965056969697,0.0285707948717944
62,Trough,85.648458,3.82632626806527,-0.0436689254079248
63,Peak,86.580397,3.89898284848485,0.0312380046620055
64,Trough,87.508643,3.83489284149184,-0.0328520023310017
65,Peak,88.436642,3.91452113986014,0.0535720955710968
66,Trough,89.364462,3.82426291841492,-0.0434819254079239
67,Peak,90.2967,3.89664958041958,0.0285598088578092
68,Trough,91.093614,3.83054258275058,-0.0390799440559446
69,Peak,92.031916,3.89589893240093,0.0320068181818183
70,Trough,92.82984,3.84891408158508,-0.0207084452214454
71,Peak,93.626106,3.89709992074592,0.0332078065268062
72,Trough,94.556067,3.83767016783217,-0.0304196037296034
73,Peak,95.487093,3.90071189277389,0.0368197785547779
74,Trough,96.416321,3.83461772960373,-0.0309449324009323
75,Peak,97.218729,3.89899465734266,0.033431995337994
76,Trough,98.149347,3.82538725641026,-0.0401754055944061
77,Peak,98.949495,3.89673462703963,0.0311719650349644
78,Trough,99.75052,3.82892426107226,-0.036638400932401
79,Peak,100.545916,3.8966266969697,0.0329526853146853
80,Trough,101.344325,3.83730599300699,-0.0263334731934739
81,Peak,102.006503,3.89609766899767,0.0324236573426573
82,Trough,102.803,3.83166276923077,-0.0304393752913752
83,Peak,103.599405,3.89243841258741,0.0287989463869467
84,Trough,104.397446,3.83567352913753,-0.0259896853146859
85,Peak,105.191968,3.89199224475525,0.0283182331002338
86,Trough,105.856377,3.84996189277389,-0.0120608694638693
87,Peak,106.520133,3.89467431934732,0.0310348531468527
88,Trough,107.332816,3.83253672494172,-0.02956541958042
89,Peak,108.128638,3.89756004195804,0.0362404358974358
90,Trough,108.926299,3.8269659044289,-0.0326660745920746
91,Peak,109.72052,3.89616096037296,0.0390005454545461
92,Trough,110.5186,3.82820527272727,-0.0285416130536134
93,Peak,111.313399,3.89545485547786,0.0383673006993002
94,Trough,112.109604,3.82895378321678,-0.0274433822843823
