Time,PeakToPeakFrequencyHz,SmoothedPeakToPeakFrequencyHz,PreviousPeakTime,CurrentPeakTime,PeakIntervalSeconds
13.032246,0.443163799544605,0.443163799544605,10.775744,13.032246,2.256502
15.029414,0.500709003949593,0.500709003949593,13.032246,15.029414,1.997168
17.017053,0.50310946806739,0.50310946806739,15.029414,17.017053,1.987639
19.145467,0.469833406470734,0.469833406470734,17.017053,19.145467,2.128414
21.146327,0.499785092410264,0.499785092410264,19.145467,21.146327,2.00086
23.804426,0.376208711564167,0.376208711564167,21.146327,23.804426,2.658099
25.536696,0.577277214291075,0.577277214291075,23.804426,25.536696,1.73227
27.262195,0.579542497561575,0.579542497561575,25.536696,27.262195,1.725499
28.854722,0.627932838815291,0.627932838815291,27.262195,28.854722,1.592527
30.586772,0.577350538379377,0.577350538379377,28.854722,30.586772,1.73205
32.189076,0.624101294136443,0.624101294136443,30.586772,32.189076,1.602304
33.91551,0.579228629649324,0.579228629649324,32.189076,33.91551,1.726434
35.523388,0.621937734081815,0.621937734081815,33.91551,35.523388,1.607878
41.23776,0.174997357539901,0.174997357539901,35.523388,41.23776,5.714372
42.966309,0.578519903109486,0.578519903109486,41.23776,42.966309,1.728549
44.690609,0.579945485124398,0.579945485124398,42.966309,44.690609,1.7243
46.420866,0.577948824943348,0.577948824943348,44.690609,46.420866,1.73025699999999
48.147423,0.579187365375134,0.579187365375134,46.420866,48.147423,1.72655700000001
49.876905,0.578207810199818,0.578207810199818,48.147423,49.876905,1.729482
51.602718,0.579437053724823,0.579437053724823,49.876905,51.602718,1.725813
53.737443,0.468444413214818,0.468444413214818,51.602718,53.737443,2.134725
55.200137,0.683669995227984,0.683669995227984,53.737443,55.200137,1.462694
56.795106,0.626971433300585,0.626971433300585,55.200137,56.795106,1.594969
57.991437,0.835889064146962,0.835889064146962,56.795106,57.991437,1.196331
69.827298,0.0844889949282101,0.0844889949282101,57.991437,69.827298,11.835861
73.011948,0.314006248724349,0.314006248724349,69.827298,73.011948,3.18465
76.8666,0.259426791316051,0.259426791316051,73.011948,76.8666,3.854652
78.060997,0.837242558378834,0.837242558378834,76.8666,78.060997,1.194397
80.597819,0.394193995479383,0.394193995479383,78.060997,80.597819,2.536822
84.719344,0.242628638671365,0.242628638671365,80.597819,84.719344,4.12152500000001
86.580397,0.537330210370151,0.537330210370151,84.719344,86.580397,1.861053
88.436642,0.538721989823541,0.538721989823541,86.580397,88.436642,1.856245
90.2967,0.537617644180989,0.537617644180989,88.436642,90.2967,1.860058
92.031916,0.576297129579259,0.576297129579259,90.2967,92.031916,1.73521599999999
93.626106,0.627277802520403,0.627277802520403,92.031916,93.626106,1.59419
95.487093,0.53734926681379,0.53734926681379,93.626106,95.487093,1.86098700000001
97.218729,0.577488571501172,0.577488571501172,95.487093,97.218729,1.73163599999999
98.949495,0.577778856298309,0.577778856298309,97.218729,98.949495,1.730766
100.545916,0.626401181142065,0.626401181142065,98.949495,100.545916,1.59642100000001
102.006503,0.684656237526424,0.684656237526424,100.545916,102.006503,1.46058699999999
103.599405,0.627785011256182,0.627785011256182,102.006503,103.599405,1.59290200000001
105.191968,0.627918644348764,0.627918644348764,103.599405,105.191968,1.592563
106.520133,0.752918500336932,0.752918500336932,105.191968,106.520133,1.328165
108.128638,0.62169530091607,0.62169530091607,106.520133,108.128638,1.60850499999999
109.72052,0.628187265136487,0.628187265136487,108.128638,109.72052,1.591882
111.313399,0.627794076009536,0.627794076009536,109.72052,111.313399,1.59287900000001
